Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2018-19,CSKA Moscow,35,475,13.6,128/243,52.7,34/99,34.3,117/157,74.5,238,36,51,6,"CLYBURN, WILL"
2019-20,CSKA Moscow,4,50,12.5,15/27,55.6,4/11,36.4,8/11,72.7,21,3,3,0,"CLYBURN, WILL"
2020-21,CSKA Moscow,5,96,19.2,20/39,51.3,11/25,44,23/30,76.7,18,5,5,2,"CLYBURN, WILL"
2019-20,Maccabi FOX Tel Aviv,11,13,1.2,5/9,55.6,0/3,0,3/4,75,5,0,3,1,"COHEN, SANDY"
2020-21,Maccabi Playtika Tel Aviv,5,3,0.6,1/2,50,0/0,0,1/1,100,4,2,1,0,"COHEN, SANDY"
2017-18,Maccabi FOX Tel Aviv,28,353,12.6,110/247,44.5,22/69,31.9,67/82,81.7,69,30,106,2,"COLE, NORRIS"
2018-19,Buducnost VOLI Podgorica,15,249,16.6,81/153,52.9,19/50,38,30/35,85.7,40,12,69,0,"COLE, NORRIS"
2020-21,LDLC ASVEL Villeurbanne,2,21,10.5,6/15,40,2/8,25,3/5,60,8,0,9,0,"COLE, NORRIS"
2004-05,Montepaschi Siena,6,14,2.3,7/9,77.8,0/3,0,0/0,0,8,2,1,0,"DATOME, LUIGI"
2005-06,Montepaschi Siena,11,57,5.2,10/20,50,11/19,57.9,4/4,100,25,8,4,2,"DATOME, LUIGI"
2008-09,Lottomatica Roma,13,75,5.8,17/37,45.9,8/23,34.8,17/19,89.5,48,5,8,4,"DATOME, LUIGI"
2009-10,Lottomatica Roma,2,12,6,2/5,40,2/5,40,2/2,100,4,0,1,0,"DATOME, LUIGI"
2010-11,Lottomatica Roma,13,118,9.1,28/56,50,18/49,36.7,8/8,100,56,14,9,5,"DATOME, LUIGI"
2015-16,Fenerbahce Istanbul,29,361,12.4,85/155,54.8,42/91,46.2,65/75,86.7,128,12,54,8,"DATOME, LUIGI"
2016-17,Fenerbahce Istanbul,33,303,9.2,54/128,42.2,48/103,46.6,51/54,94.4,122,18,35,2,"DATOME, LUIGI"
2017-18,Fenerbahce Dogus Istanbul,35,336,9.6,68/130,52.3,52/117,44.4,44/48,91.7,118,14,38,20,"DATOME, LUIGI"
2018-19,Fenerbahce Beko Istanbul,34,305,9,57/104,54.8,49/118,41.5,44/48,91.7,121,17,26,8,"DATOME, LUIGI"
2019-20,Fenerbahce Beko Istanbul,28,233,8.3,44/82,53.7,44/102,43.1,13/14,92.9,95,21,36,8,"DATOME, LUIGI"
2020-21,AX Armani Exchange Milan,4,33,8.3,7/13,53.8,4/10,40,7/7,100,9,1,2,1,"DATOME, LUIGI"
2017-18,Crvena Zvezda mts Belgrade,24,156,6.5,28/45,62.2,22/47,46.8,34/44,77.3,48,16,28,6,"DAVIDOVAC, DEJAN"
2019-20,Crvena Zvezda mts Belgrade,24,148,6.2,34/63,54,15/46,32.6,35/44,79.5,69,19,14,6,"DAVIDOVAC, DEJAN"
2020-21,Crvena Zvezda mts Belgrade,4,27,6.8,7/12,58.3,3/10,30,4/5,80,17,5,1,2,"DAVIDOVAC, DEJAN"
2017-18,Zalgiris Kaunas,36,335,9.3,120/208,57.7,0/0,0,95/112,84.8,127,32,34,13,"DAVIES, BRANDON"
2018-19,Zalgiris Kaunas,34,483,14.2,176/315,55.9,0/0,0,131/172,76.2,186,33,67,15,"DAVIES, BRANDON"
2019-20,FC Barcelona,28,268,9.6,99/189,52.4,5/13,38.5,55/70,78.6,109,31,45,16,"DAVIES, BRANDON"
2020-21,FC Barcelona,5,71,14.2,25/39,64.1,0/0,0,21/27,77.8,18,4,7,6,"DAVIES, BRANDON"
2010-11,Power Electronics Valencia,19,191,10.1,38/103,36.9,16/58,27.6,67/70,95.7,50,26,31,3,"DE COLO, NANDO"
2014-15,CSKA Moscow,28,403,14.4,102/204,50,32/68,47.1,103/112,92,89,37,88,1,"DE COLO, NANDO"
2015-16,CSKA Moscow,27,525,19.4,124/223,55.6,46/100,46,139/153,90.8,96,31,134,4,"DE COLO, NANDO"
2016-17,CSKA Moscow,28,534,19.1,133/240,55.4,43/101,42.6,139/145,95.9,81,28,110,2,"DE COLO, NANDO"
2017-18,CSKA Moscow,32,533,16.7,123/216,56.9,58/118,49.2,113/119,95,72,40,119,3,"DE COLO, NANDO"
2018-19,CSKA Moscow,34,501,14.7,101/183,55.2,59/137,43.1,122/129,94.6,84,32,116,0,"DE COLO, NANDO"
2019-20,Fenerbahce Beko Istanbul,24,382,15.9,88/153,57.5,40/100,40,86/90,95.6,72,15,71,1,"DE COLO, NANDO"
2020-21,Fenerbahce Beko Istanbul,5,76,15.2,15/32,46.9,8/22,36.4,22/22,100,22,8,22,0,"DE COLO, NANDO"
2018-19,Real Madrid,31,136,4.4,44/66,66.7,6/18,33.3,30/43,69.8,73,6,21,1,"DECK, GABRIEL"
2019-20,Real Madrid,24,178,7.4,58/113,51.3,7/27,25.9,41/50,82,77,7,36,3,"DECK, GABRIEL"
2020-21,Real Madrid,5,11,2.2,5/14,35.7,0/6,0,1/1,100,17,3,3,0,"DECK, GABRIEL"
2007-08,AXA FC Barcelona,1,1,1,0/0,0,0/0,0,1/2,50,2,0,0,0,"DEDOVIC, NIHAD"
2008-09,Regal FC Barcelona,3,0,0,0/1,0,0/2,0,0/0,0,1,0,0,0,"DEDOVIC, NIHAD"
2010-11,Lottomatica Roma,15,140,9.3,48/93,51.6,7/36,19.4,23/31,74.2,47,25,31,5,"DEDOVIC, NIHAD"
2012-13,Alba Berlin,23,198,8.6,59/126,46.8,13/49,26.5,41/59,69.5,75,24,57,1,"DEDOVIC, NIHAD"
2013-14,FC Bayern Munich,18,211,11.7,55/113,48.7,22/55,40,35/38,92.1,65,14,41,2,"DEDOVIC, NIHAD"
2014-15,FC Bayern Munich,10,116,11.6,31/66,47,12/32,37.5,18/22,81.8,28,5,24,2,"DEDOVIC, NIHAD"
2015-16,FC Bayern Munich,10,124,12.4,32/56,57.1,14/42,33.3,18/21,85.7,30,12,26,0,"DEDOVIC, NIHAD"
2018-19,FC Bayern Munich,30,297,9.9,75/134,56,32/97,33,51/61,83.6,74,29,80,1,"DEDOVIC, NIHAD"
2019-20,FC Bayern Munich,14,119,8.5,33/65,50.8,12/48,25,17/19,89.5,33,14,31,0,"DEDOVIC, NIHAD"
2020-21,FC Bayern Munich,5,39,7.8,9/12,75,4/19,21.1,9/11,81.8,13,5,12,0,"DEDOVIC, NIHAD"
2013-14,FC Bayern Munich,24,334,13.9,54/128,42.2,42/109,38.5,100/118,84.7,81,23,107,3,"DELANEY, MALCOLM"
2015-16,Lokomotiv Kuban Krasnodar,31,504,16.3,73/161,45.3,70/174,40.2,148/174,85.1,106,27,172,0,"DELANEY, MALCOLM"
2019-20,FC Barcelona,26,266,10.2,29/62,46.8,55/128,43,43/63,68.3,56,17,125,2,"DELANEY, MALCOLM"
2020-21,AX Armani Exchange Milan,4,33,8.3,5/13,38.5,4/16,25,11/13,84.6,8,4,21,0,"DELANEY, MALCOLM"
2019-20,ALBA Berlin,6,7,1.2,2/3,66.7,1/2,50,0/0,0,0,1,1,0,"DELOW, MALTE"
2013-14,Laboral Kutxa Vitoria,14,36,2.6,13/24,54.2,0/1,0,10/18,55.6,33,3,2,6,"DIOP, ILIMANE"
2014-15,Laboral Kutxa Vitoria,7,12,1.7,3/8,37.5,0/0,0,6/8,75,16,1,1,4,"DIOP, ILIMANE"
2015-16,Laboral Kutxa Vitoria Gasteiz,27,70,2.6,23/47,48.9,0/0,0,24/28,85.7,56,6,4,15,"DIOP, ILIMANE"
2016-17,Baskonia Vitoria Gasteiz,33,134,4.1,51/89,57.3,0/0,0,32/43,74.4,90,8,15,18,"DIOP, ILIMANE"
2017-18,KIROLBET Baskonia Vitoria Gasteiz,25,88,3.5,27/47,57.4,2/7,28.6,28/36,77.8,41,3,8,10,"DIOP, ILIMANE"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,33,129,3.9,37/68,54.4,3/13,23.1,46/59,78,84,9,18,17,"DIOP, ILIMANE"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,27,99,3.7,28/46,60.9,6/21,28.6,25/33,75.8,53,8,7,14,"DIOP, ILIMANE"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,8,2.7,0/5,0,2/3,66.7,2/4,50,5,0,0,0,"DIOP, ILIMANE"
2007-08,Le Mans,13,26,2,9/18,50,2/12,16.7,2/4,50,17,7,22,0,"DIOT, ANTOINE"
2008-09,Le Mans,10,35,3.5,5/20,25,4/13,30.8,13/16,81.3,18,6,23,0,"DIOT, ANTOINE"
2013-14,Strasbourg,9,75,8.3,13/26,50,11/36,30.6,16/21,76.2,23,17,34,3,"DIOT, ANTOINE"
2019-20,LDLC ASVEL Villeurbanne,23,123,5.3,17/42,40.5,25/67,37.3,14/18,77.8,25,16,65,1,"DIOT, ANTOINE"
2020-21,LDLC ASVEL Villeurbanne,2,9,4.5,1/1,100,2/3,66.7,1/2,50,3,2,4,0,"DIOT, ANTOINE"
2016-17,Crvena Zvezda mts Belgrade,13,21,1.6,7/10,70,2/12,16.7,1/3,33.3,6,4,2,0,"DOBRIC, OGNJEN"
2017-18,Crvena Zvezda mts Belgrade,26,168,6.5,34/58,58.6,27/77,35.1,19/23,82.6,59,16,11,6,"DOBRIC, OGNJEN"
2019-20,Crvena Zvezda mts Belgrade,22,112,5.1,27/48,56.3,15/42,35.7,13/19,68.4,38,17,19,2,"DOBRIC, OGNJEN"
2020-21,Crvena Zvezda mts Belgrade,3,12,4,0/3,0,4/6,66.7,0/0,0,7,1,0,0,"DOBRIC, OGNJEN"
2019-20,Maccabi FOX Tel Aviv,28,278,9.9,41/108,38,51/131,38.9,43/63,68.3,68,29,41,4,"DORSEY, TYLER"
2020-21,Maccabi Playtika Tel Aviv,5,63,12.6,6/20,30,13/31,41.9,12/12,100,15,6,8,0,"DORSEY, TYLER"
2012-13,Unicaja Malaga,22,98,4.5,33/62,53.2,4/31,12.9,20/27,74.1,67,15,11,1,"DRAGIC, ZORAN"
2013-14,Unicaja Malaga,22,239,10.9,55/122,45.1,28/79,35.4,45/64,70.3,59,16,35,2,"DRAGIC, ZORAN"
2015-16,Khimki Moscow Region,24,192,8,49/80,61.3,22/65,33.8,28/45,62.2,60,20,18,1,"DRAGIC, ZORAN"
2016-17,EA7 Emporio Armani Milan,23,162,7,45/83,54.2,16/54,29.6,24/33,72.7,50,15,17,4,"DRAGIC, ZORAN"
2017-18,Anadolu Efes Istanbul,14,148,10.6,34/63,54,17/56,30.4,29/34,85.3,29,11,38,1,"DRAGIC, ZORAN"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,5,39,7.8,6/16,37.5,5/14,35.7,12/17,70.6,10,3,2,0,"DRAGIC, ZORAN"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,2,15,7.5,3/9,33.3,1/6,16.7,6/6,100,5,1,0,0,"DRAGIC, ZORAN"
2014-15,Valencia Basket,8,124,15.5,33/60,55,12/28,42.9,22/24,91.7,33,7,7,2,"DUBLJEVIC, BOJAN"
2017-18,Valencia Basket,24,258,10.8,66/127,52,23/62,37.1,57/70,81.4,119,13,34,3,"DUBLJEVIC, BOJAN"
