Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2016-17,Anadolu Efes Istanbul,35,340,9.7,87/188,46.3,37/113,32.7,55/73,75.3,93,30,135,3,"GRANGER, JAYSON"
2017-18,KIROLBET Baskonia Vitoria Gasteiz,31,287,9.3,59/125,47.2,47/116,40.5,28/38,73.7,59,15,159,1,"GRANGER, JAYSON"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,12,86,7.2,13/39,33.3,17/42,40.5,9/14,64.3,19,4,29,0,"GRANGER, JAYSON"
2020-21,ALBA Berlin,4,32,8,6/15,40,5/14,35.7,5/6,83.3,6,5,20,0,"GRANGER, JAYSON"
2019-20,FC Bayern Munich,4,0,0,0/0,0,0/0,0,0/0,0,0,0,0,1,"GRANT, SASHA"
2018-19,Zalgiris Kaunas,34,296,8.7,54/112,48.2,34/77,44.2,86/92,93.5,73,20,66,0,"GRIGONIS, MARIUS"
2019-20,Zalgiris Kaunas,10,115,11.5,21/41,51.2,17/44,38.6,22/26,84.6,26,5,20,1,"GRIGONIS, MARIUS"
2020-21,Zalgiris Kaunas,5,68,13.6,12/23,52.2,10/21,47.6,14/14,100,14,0,14,0,"GRIGONIS, MARIUS"
2013-14,Zalgiris Kaunas,7,31,4.4,12/16,75,0/4,0,7/11,63.6,18,3,4,5,"GUDAITIS, ARTURAS"
2014-15,Zalgiris Kaunas,20,130,6.5,41/80,51.3,2/5,40,42/68,61.8,80,3,5,18,"GUDAITIS, ARTURAS"
2017-18,AX Armani Exchange Olimpia Milan,29,299,10.3,98/146,67.1,0/0,0,103/144,71.5,183,17,7,31,"GUDAITIS, ARTURAS"
2018-19,AX Armani Exchange Olimpia Milan,21,263,12.5,78/122,63.9,0/0,0,107/133,80.5,150,16,8,21,"GUDAITIS, ARTURAS"
2019-20,AX Armani Exchange Milan,19,139,7.3,39/78,50,1/1,100,58/77,75.3,83,8,9,17,"GUDAITIS, ARTURAS"
2020-21,Zenit St Petersburg,1,7,7,2/7,28.6,0/0,0,3/4,75,5,0,1,3,"GUDAITIS, ARTURAS"
2012-13,Montepaschi Siena,22,159,7.2,39/83,47,14/45,31.1,39/54,72.2,50,23,67,1,"HACKETT, DANIEL"
2013-14,Montepaschi Siena,9,120,13.3,29/67,43.3,9/22,40.9,35/47,74.5,38,9,52,0,"HACKETT, DANIEL"
2013-14,EA7 Emporio Armani Milan,18,174,9.7,39/95,41.1,18/56,32.1,42/58,72.4,63,24,64,1,"HACKETT, DANIEL"
2014-15,EA7 Emporio Armani Milan,24,251,10.5,69/147,46.9,21/84,25,50/76,65.8,89,20,110,1,"HACKETT, DANIEL"
2015-16,Olympiacos Piraeus,24,194,8.1,38/79,48.1,22/56,39.3,52/64,81.3,56,20,56,2,"HACKETT, DANIEL"
2016-17,Olympiacos Piraeus,11,55,5,13/33,39.4,4/15,26.7,17/22,77.3,17,5,18,0,"HACKETT, DANIEL"
2017-18,Brose Bamberg,26,249,9.6,57/98,58.2,24/65,36.9,63/78,80.8,69,10,88,0,"HACKETT, DANIEL"
2018-19,CSKA Moscow,35,210,6,42/92,45.7,20/51,39.2,66/80,82.5,64,22,61,1,"HACKETT, DANIEL"
2019-20,CSKA Moscow,23,191,8.3,30/76,39.5,34/77,44.2,29/36,80.6,59,23,62,0,"HACKETT, DANIEL"
2020-21,CSKA Moscow,5,52,10.4,5/14,35.7,11/18,61.1,9/9,100,14,8,13,0,"HACKETT, DANIEL"
2020-21,Crvena Zvezda mts Belgrade,4,34,8.5,8/24,33.3,6/10,60,0/0,0,7,6,23,2,"HALL, LANGSTON"
2020-21,Fenerbahce Beko Istanbul,4,4,1,2/5,40,0/0,0,0/0,0,9,0,0,4,"HAMILTON, JOHNNY"
2013-14,Laboral Kutxa Vitoria,15,84,5.6,23/41,56.1,8/28,28.6,14/25,56,31,11,17,7,"HANGA, ADAM"
2015-16,Laboral Kutxa Vitoria Gasteiz,27,222,8.2,59/107,55.1,17/61,27.9,53/75,70.7,139,38,45,33,"HANGA, ADAM"
2016-17,Baskonia Vitoria Gasteiz,33,348,10.5,87/164,53,40/119,33.6,54/81,66.7,146,42,79,22,"HANGA, ADAM"
2017-18,FC Barcelona Lassa,26,225,8.7,57/109,52.3,25/72,34.7,36/53,67.9,97,19,52,17,"HANGA, ADAM"
2018-19,FC Barcelona Lassa,27,238,8.8,70/123,56.9,20/71,28.2,38/51,74.5,108,31,50,9,"HANGA, ADAM"
2019-20,FC Barcelona,28,161,5.8,43/75,57.3,16/58,27.6,27/36,75,82,19,95,6,"HANGA, ADAM"
2020-21,FC Barcelona,5,21,4.2,4/8,50,3/8,37.5,4/4,100,16,3,12,2,"HANGA, ADAM"
2020-21,Olympiacos Piraeus,5,46,9.2,9/21,42.9,8/27,29.6,4/7,57.1,11,4,10,1,"HARRISON, AARON"
2020-21,LDLC ASVEL Villeurbanne,1,4,4,2/2,100,0/1,0,0/0,0,4,0,1,2,"HAYES, KEVARRIUS"
2019-20,Zalgiris Kaunas,28,176,6.3,32/73,43.8,29/78,37.2,25/33,75.8,99,10,27,6,"HAYES, NIGEL"
2020-21,Zalgiris Kaunas,5,53,10.6,11/23,47.8,8/25,32,7/8,87.5,27,6,4,0,"HAYES, NIGEL"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,25,197,7.9,50/104,48.1,18/61,29.5,43/59,72.9,90,40,85,0,"HENRY, PIERRIA"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,29,9.7,8/15,53.3,2/8,25,7/8,87.5,7,5,19,0,"HENRY, PIERRIA"
2019-20,ALBA Berlin,27,294,10.9,82/185,44.3,29/86,33.7,43/50,86,43,13,130,1,"HERMANNSSON, MARTIN"
2020-21,Valencia Basket,3,12,4,4/12,33.3,0/4,0,4/7,57.1,2,2,8,0,"HERMANNSSON, MARTIN"
2011-12,Caja Laboral,10,33,3.3,10/19,52.6,4/17,23.5,1/2,50,8,1,10,0,"HEURTEL, THOMAS"
2012-13,Laboral Kutxa Vitoria,28,201,7.2,44/84,52.4,31/71,43.7,20/29,69,58,20,126,0,"HEURTEL, THOMAS"
2013-14,Laboral Kutxa Vitoria,21,168,8,55/105,52.4,12/51,23.5,22/28,78.6,45,15,111,0,"HEURTEL, THOMAS"
2014-15,Laboral Kutxa Vitoria,10,122,12.2,23/45,51.1,18/32,56.3,22/28,78.6,28,9,67,0,"HEURTEL, THOMAS"
2014-15,Anadolu Efes Istanbul,18,169,9.4,39/90,43.3,24/61,39.3,19/23,82.6,44,10,112,1,"HEURTEL, THOMAS"
2015-16,Anadolu Efes Istanbul,24,304,12.7,71/131,54.2,35/82,42.7,57/71,80.3,70,18,190,0,"HEURTEL, THOMAS"
2016-17,Anadolu Efes Istanbul,35,443,12.7,133/264,50.4,35/104,33.7,72/83,86.7,59,29,197,0,"HEURTEL, THOMAS"
2017-18,FC Barcelona Lassa,30,340,11.3,98/168,58.3,32/92,34.8,48/59,81.4,73,22,193,0,"HEURTEL, THOMAS"
2018-19,FC Barcelona Lassa,35,365,10.4,101/207,48.8,36/80,45,55/73,75.3,66,23,167,0,"HEURTEL, THOMAS"
2019-20,FC Barcelona,3,16,5.3,1/3,33.3,4/10,40,2/2,100,7,1,14,0,"HEURTEL, THOMAS"
2020-21,FC Barcelona,5,19,3.8,7/13,53.8,1/6,16.7,2/2,100,5,1,7,0,"HEURTEL, THOMAS"
2015-16,CSKA Moscow,29,268,9.2,51/105,48.6,34/63,54,64/78,82.1,64,17,40,6,"HIGGINS, CORY"
2016-17,CSKA Moscow,32,305,9.5,75/152,49.3,25/62,40.3,80/91,87.9,69,24,48,4,"HIGGINS, CORY"
2017-18,CSKA Moscow,36,510,14.2,145/253,57.3,40/88,45.5,100/124,80.6,85,37,67,5,"HIGGINS, CORY"
2018-19,CSKA Moscow,32,476,14.9,105/213,49.3,51/104,49,113/126,89.7,70,13,58,8,"HIGGINS, CORY"
2019-20,FC Barcelona,23,286,12.4,69/143,48.3,30/75,40,58/71,81.7,48,15,63,3,"HIGGINS, CORY"
2020-21,FC Barcelona,5,62,12.4,17/33,51.5,4/18,22.2,16/18,88.9,13,3,15,0,"HIGGINS, CORY"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,34,320,9.4,67/136,49.3,39/121,32.2,69/89,77.5,97,23,38,2,"HILLIARD, DARRUN"
2019-20,CSKA Moscow,27,287,10.6,38/94,40.4,56/136,41.2,43/54,79.6,66,15,33,3,"HILLIARD, DARRUN"
2020-21,CSKA Moscow,5,28,5.6,6/15,40,4/15,26.7,4/5,80,10,2,5,1,"HILLIARD, DARRUN"
2010-11,Brose Baskets Bamberg,10,129,12.9,54/84,64.3,0/0,0,21/45,46.7,54,8,5,11,"HINES, KYLE"
2011-12,Olympiacos Piraeus,22,217,9.9,82/158,51.9,0/0,0,53/92,57.6,99,8,23,25,"HINES, KYLE"
2012-13,Olympiacos Piraeus,31,290,9.4,118/195,60.5,0/2,0,54/92,58.7,187,21,36,36,"HINES, KYLE"
2013-14,CSKA Moscow,29,221,7.6,91/144,63.2,0/0,0,39/57,68.4,131,25,33,22,"HINES, KYLE"
2014-15,CSKA Moscow,30,203,6.8,79/127,62.2,0/2,0,45/66,68.2,129,17,16,23,"HINES, KYLE"
2015-16,CSKA Moscow,29,317,10.9,122/181,67.4,0/0,0,73/111,65.8,137,18,30,23,"HINES, KYLE"
2016-17,CSKA Moscow,35,297,8.5,106/163,65,0/0,0,85/121,70.2,150,25,22,18,"HINES, KYLE"
2017-18,CSKA Moscow,31,261,8.4,101/166,60.8,0/1,0,59/75,78.7,135,34,38,24,"HINES, KYLE"
2018-19,CSKA Moscow,36,263,7.3,105/181,58,0/0,0,53/84,63.1,130,24,49,26,"HINES, KYLE"
2019-20,CSKA Moscow,28,246,8.8,103/162,63.6,1/3,33.3,37/57,64.9,137,18,39,24,"HINES, KYLE"
2020-21,AX Armani Exchange Milan,4,36,9,14/28,50,0/0,0,8/11,72.7,10,4,5,2,"HINES, KYLE"
2019-20,Zenit St Petersburg,27,280,10.4,47/82,57.3,51/147,34.7,33/36,91.7,58,37,40,9,"HOLLINS, AUSTIN"
2020-21,Zenit St Petersburg,1,5,5,0/0,0,1/3,33.3,2/3,66.7,0,0,0,0,"HOLLINS, AUSTIN"
2020-21,LDLC ASVEL Villeurbanne,2,6,3,0/0,0,2/3,66.7,0/0,0,7,1,2,0,"HOWARD, WILLIAM"
2013-14,Montepaschi Siena,10,63,6.3,29/57,50.9,1/4,25,2/4,50,67,3,5,11,"HUNTER, OTHELLO"
2014-15,Olympiacos Piraeus,29,239,8.2,107/174,61.5,0/0,0,25/40,62.5,140,13,17,11,"HUNTER, OTHELLO"
2015-16,Olympiacos Piraeus,22,206,9.4,85/150,56.7,0/0,0,36/56,64.3,132,16,11,7,"HUNTER, OTHELLO"
2016-17,Real Madrid,35,265,7.6,112/171,65.5,0/2,0,41/60,68.3,159,17,21,9,"HUNTER, OTHELLO"
2017-18,CSKA Moscow,30,247,8.2,96/154,62.3,0/2,0,55/74,74.3,165,27,20,10,"HUNTER, OTHELLO"
2018-19,CSKA Moscow,36,276,7.7,118/198,59.6,0/0,0,40/55,72.7,155,19,31,15,"HUNTER, OTHELLO"
2019-20,Maccabi FOX Tel Aviv,27,278,10.3,118/199,59.3,0/4,0,42/59,71.2,174,14,36,10,"HUNTER, OTHELLO"
2020-21,Maccabi Playtika Tel Aviv,5,42,8.4,20/35,57.1,0/0,0,2/5,40,28,5,3,6,"HUNTER, OTHELLO"
2019-20,Crvena Zvezda mts Belgrade,8,31,3.9,12/24,50,1/8,12.5,4/8,50,23,0,8,6,"JAGODIC-KURIDZA, MARKO"
2020-21,Crvena Zvezda mts Belgrade,4,24,6,5/13,38.5,2/3,66.7,8/8,100,11,1,9,0,"JAGODIC-KURIDZA, MARKO"
2014-15,Laboral Kutxa Vitoria,16,178,11.1,49/93,52.7,14/63,22.2,38/45,84.4,38,18,31,0,"JAMES, MIKE"
2015-16,Laboral Kutxa Vitoria Gasteiz,29,289,10,73/160,45.6,35/95,36.8,38/44,86.4,75,17,78,3,"JAMES, MIKE"
2016-17,Panathinaikos Superfoods Athens,25,328,13.1,91/155,58.7,34/100,34,44/64,68.8,55,23,75,2,"JAMES, MIKE"
2017-18,Panathinaikos Superfoods Athens,12,194,16.2,60/95,63.2,15/62,24.2,29/41,70.7,33,16,49,1,"JAMES, MIKE"
2018-19,AX Armani Exchange Olimpia Milan,30,595,19.8,119/253,47,70/215,32.6,147/178,82.6,114,39,191,1,"JAMES, MIKE"
2019-20,CSKA Moscow,28,590,21.1,104/228,45.6,79/188,42,145/174,83.3,93,19,120,3,"JAMES, MIKE"
2020-21,CSKA Moscow,5,88,17.6,15/28,53.6,11/30,36.7,25/31,80.6,12,3,27,0,"JAMES, MIKE"
2003-04,Zalgiris,16,74,4.6,30/56,53.6,0/1,0,14/22,63.6,46,8,10,4,"JANKUNAS, PAULIUS"
2004-05,Zalgiris,20,124,6.2,48/83,57.8,1/7,14.3,25/43,58.1,84,14,12,2,"JANKUNAS, PAULIUS"
2005-06,Zalgiris,20,215,10.8,64/120,53.3,9/36,25,60/84,71.4,136,7,23,6,"JANKUNAS, PAULIUS"
2006-07,Zalgiris,13,124,9.5,38/65,58.5,5/24,20.8,33/49,67.3,91,15,13,3,"JANKUNAS, PAULIUS"
2007-08,Zalgiris,20,172,8.6,56/99,56.6,11/34,32.4,27/35,77.1,97,17,16,8,"JANKUNAS, PAULIUS"
2008-09,Zalgiris,9,124,13.8,36/73,49.3,8/27,29.6,28/36,77.8,72,9,11,5,"JANKUNAS, PAULIUS"
2009-10,Khimki,16,131,8.2,27/46,58.7,20/53,37.7,17/22,77.3,79,12,13,5,"JANKUNAS, PAULIUS"
2010-11,Zalgiris Kaunas,16,150,9.4,54/91,59.3,5/33,15.2,27/33,81.8,110,9,15,6,"JANKUNAS, PAULIUS"
2011-12,Zalgiris Kaunas,16,124,7.8,38/79,48.1,8/24,33.3,24/33,72.7,89,12,12,5,"JANKUNAS, PAULIUS"
2012-13,Zalgiris Kaunas,17,139,8.2,40/77,51.9,7/24,29.2,38/45,84.4,82,13,21,3,"JANKUNAS, PAULIUS"
2013-14,Zalgiris Kaunas,21,184,8.8,65/124,52.4,9/35,25.7,27/35,77.1,136,24,40,7,"JANKUNAS, PAULIUS"
2014-15,Zalgiris Kaunas,24,218,9.1,61/112,54.5,12/40,30,60/75,80,156,14,26,11,"JANKUNAS, PAULIUS"
2015-16,Zalgiris Kaunas,24,296,12.3,95/176,54,13/42,31,67/80,83.8,149,21,37,5,"JANKUNAS, PAULIUS"
2016-17,Zalgiris Kaunas,30,390,13,114/208,54.8,19/48,39.6,105/121,86.8,184,18,44,12,"JANKUNAS, PAULIUS"
2017-18,Zalgiris Kaunas,35,395,11.3,139/233,59.7,9/24,37.5,90/108,83.3,170,18,50,10,"JANKUNAS, PAULIUS"
2018-19,Zalgiris Kaunas,17,106,6.2,35/68,51.5,1/4,25,33/37,89.2,52,3,16,4,"JANKUNAS, PAULIUS"
2019-20,Zalgiris Kaunas,27,81,3,25/52,48.1,3/21,14.3,22/29,75.9,83,10,21,3,"JANKUNAS, PAULIUS"
2020-21,Zalgiris Kaunas,5,12,2.4,3/8,37.5,0/4,0,6/6,100,9,3,2,1,"JANKUNAS, PAULIUS"
2019-20,LDLC ASVEL Villeurbanne,27,245,9.1,83/146,56.8,15/48,31.3,34/39,87.2,101,11,17,18,"JEAN-CHARLES, LIVIO"
2020-21,Olympiacos Piraeus,3,2,0.7,1/1,100,0/1,0,0/0,0,3,0,0,0,"JEAN-CHARLES, LIVIO"
2019-20,LDLC ASVEL Villeurbanne,27,235,8.7,92/176,52.3,0/3,0,51/77,66.2,202,21,35,8,"JEKIRI, TONYE"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,9,3,2/14,14.3,0/0,0,5/8,62.5,16,1,5,1,"JEKIRI, TONYE"
2013-14,Crvena Zvezda Telekom Belgrade,10,94,9.4,21/55,38.2,13/23,56.5,13/17,76.5,13,19,17,2,"JENKINS, CHARLES"
2014-15,Crvena Zvezda Telekom Belgrade,24,158,6.6,40/105,38.1,18/58,31,24/30,80,32,22,32,5,"JENKINS, CHARLES"
2015-16,EA7 Emporio Armani Milan,10,67,6.7,11/29,37.9,14/24,58.3,3/6,50,16,15,18,0,"JENKINS, CHARLES"
2016-17,Crvena Zvezda mts Belgrade,30,282,9.4,75/166,45.2,31/73,42.5,39/46,84.8,58,62,80,3,"JENKINS, CHARLES"
2017-18,Khimki Moscow Region,34,187,5.5,28/61,45.9,37/82,45.1,20/26,76.9,57,32,57,4,"JENKINS, CHARLES"
2018-19,Khimki Moscow Region,29,200,6.9,37/64,57.8,34/81,42,24/29,82.8,80,30,36,6,"JENKINS, CHARLES"
2019-20,Crvena Zvezda mts Belgrade,23,78,3.4,28/55,50.9,2/27,7.4,16/17,94.1,50,18,41,4,"JENKINS, CHARLES"
2020-21,Olympiacos Piraeus,5,32,6.4,6/8,75,6/12,50,2/2,100,4,4,3,0,"JENKINS, CHARLES"
2019-20,Khimki Moscow Region,28,313,11.2,80/136,58.8,36/85,42.4,45/55,81.8,131,21,48,11,"JEREBKO, JONAS"
2020-21,Khimki Moscow Region,5,66,13.2,19/42,45.2,6/22,27.3,10/12,83.3,43,3,11,4,"JEREBKO, JONAS"
2019-20,Valencia Basket,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"JIMENEZ, MILLAN"
2020-21,FC Bayern Munich,5,17,3.4,8/18,44.4,0/1,0,1/2,50,14,3,2,2,"JOHNSON, JAJUAN"
2018-19,Zalgiris Kaunas,12,31,2.6,10/17,58.8,1/5,20,8/10,80,6,0,7,1,"JOKUBAITIS, ROKAS"
2019-20,Zalgiris Kaunas,10,22,2.2,5/12,41.7,3/6,50,3/4,75,5,3,13,0,"JOKUBAITIS, ROKAS"
2020-21,Zalgiris Kaunas,5,37,7.4,11/18,61.1,4/9,44.4,3/3,100,10,2,15,0,"JOKUBAITIS, ROKAS"
2020-21,Maccabi Playtika Tel Aviv,5,31,6.2,8/19,42.1,5/10,50,0/2,0,10,3,19,1,"JONES, CHRIS"
2014-15,Crvena Zvezda Telekom Belgrade,19,55,2.9,16/38,42.1,6/23,26.1,5/8,62.5,40,19,53,1,"JOVIC, STEFAN"
2015-16,Crvena Zvezda Telekom Belgrade,27,189,7,50/115,43.5,21/59,35.6,26/33,78.8,82,32,155,2,"JOVIC, STEFAN"
2016-17,Crvena Zvezda mts Belgrade,23,173,7.5,53/107,49.5,16/55,29.1,19/31,61.3,48,29,129,0,"JOVIC, STEFAN"
2018-19,FC Bayern Munich,23,190,8.3,58/104,55.8,18/45,40,20/27,74.1,55,29,105,1,"JOVIC, STEFAN"
2019-20,Khimki Moscow Region,23,174,7.6,39/64,60.9,25/47,53.2,21/34,61.8,44,30,96,3,"JOVIC, STEFAN"
2019-20,LDLC ASVEL Villeurbanne,23,161,7,35/72,48.6,23/63,36.5,22/26,84.6,67,11,19,3,"KAHUDI, CHARLES"
2020-21,LDLC ASVEL Villeurbanne,2,13,6.5,3/6,50,1/7,14.3,4/5,80,6,4,2,0,"KAHUDI, CHARLES"
2017-18,Panathinaikos Superfoods Athens,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"KALAITZAKIS, GEORGIOS"
2018-19,Panathinaikos OPAP Athens,1,0,0,0/1,0,0/1,0,0/0,0,0,0,0,0,"KALAITZAKIS, GEORGIOS"
2020-21,Panathinaikos OPAP Athens,1,2,2,1/1,100,0/0,0,0/0,0,0,0,0,0,"KALAITZAKIS, GEORGIOS"
2014-15,Crvena Zvezda Telekom Belgrade,24,221,9.2,54/115,47,22/62,35.5,47/75,62.7,94,20,47,5,"KALINIC, NIKOLA"
2015-16,Fenerbahce Istanbul,29,133,4.6,41/80,51.3,8/33,24.2,27/38,71.1,95,12,35,7,"KALINIC, NIKOLA"
2016-17,Fenerbahce Istanbul,33,249,7.5,69/123,56.1,25/72,34.7,36/43,83.7,101,27,51,10,"KALINIC, NIKOLA"
2017-18,Fenerbahce Dogus Istanbul,19,104,5.5,31/48,64.6,10/35,28.6,12/15,80,30,9,23,3,"KALINIC, NIKOLA"
2018-19,Fenerbahce Beko Istanbul,35,337,9.6,85/160,53.1,35/88,39.8,62/79,78.5,114,25,62,6,"KALINIC, NIKOLA"
2019-20,Fenerbahce Beko Istanbul,26,172,6.6,42/85,49.4,16/51,31.4,40/46,87,64,22,43,3,"KALINIC, NIKOLA"
2020-21,Valencia Basket,4,43,10.8,14/23,60.9,4/11,36.4,3/6,50,13,3,10,2,"KALINIC, NIKOLA"
2019-20,Khimki Moscow Region,22,83,3.8,13/27,48.1,16/40,40,9/9,100,32,8,17,2,"KARASEV, SERGEY"
2020-21,Khimki Moscow Region,3,9,3,0/6,0,2/8,25,3/3,100,4,3,6,0,"KARASEV, SERGEY"
2020-21,Panathinaikos OPAP Athens,4,12,3,2/3,66.7,1/5,20,5/9,55.6,14,0,3,0,"KASELAKIS, LEONIDAS"
2018-19,CSKA Moscow,1,2,2,1/1,100,0/1,0,0/0,0,0,0,0,0,"KHOMENKO, ALEXANDER"
2020-21,CSKA Moscow,2,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"KHOMENKO, ALEXANDER"
2006-07,Dynamo Moscow,16,45,2.8,10/16,62.5,3/17,17.6,16/22,72.7,15,10,10,0,"KHVOSTOV, DMITRY"
2012-13,Khimki Moscow Region,14,8,0.6,1/5,20,2/4,50,0/0,0,5,3,8,0,"KHVOSTOV, DMITRY"
2014-15,Nizhny Novgorod,24,100,4.2,16/51,31.4,17/52,32.7,17/22,77.3,33,4,78,0,"KHVOSTOV, DMITRY"
2019-20,Zenit St Petersburg,18,64,3.6,16/32,50,7/32,21.9,11/14,78.6,8,4,48,0,"KHVOSTOV, DMITRY"
2004-05,Opel Skyliners,9,30,3.3,13/26,50,1/4,25,1/6,16.7,10,4,11,2,"KING, ALEX"
2014-15,ALBA Berlin,24,95,4,16/33,48.5,19/69,27.5,6/13,46.2,56,10,11,1,"KING, ALEX"
2018-19,FC Bayern Munich,14,8,0.6,1/1,100,2/9,22.2,0/3,0,6,1,3,0,"KING, ALEX"
2019-20,FC Bayern Munich,18,31,1.7,2/3,66.7,9/23,39.1,0/2,0,14,5,8,0,"KING, ALEX"
2014-15,Panathinaikos Athens,1,0,0,0/0,0,0/0,0,0/0,0,1,0,0,0,"KONIARIS, ANTONIOS"
2019-20,Olympiacos Piraeus,24,81,3.4,8/26,30.8,20/48,41.7,5/6,83.3,33,16,34,1,"KONIARIS, ANTONIOS"
2005-06,CSKA Moscow,17,34,2,8/19,42.1,2/10,20,12/17,70.6,28,8,5,1,"KURBANOV, NIKITA"
2006-07,CSKA Moscow,15,31,2.1,9/18,50,2/6,33.3,7/11,63.6,22,3,4,1,"KURBANOV, NIKITA"
2007-08,CSKA Moscow,3,11,3.7,3/3,100,1/2,50,2/2,100,5,2,0,0,"KURBANOV, NIKITA"
2009-10,CSKA Moscow,18,20,1.1,5/16,31.3,3/8,37.5,1/2,50,21,3,8,3,"KURBANOV, NIKITA"
2010-11,CSKA Moscow,7,10,1.4,4/4,100,0/2,0,2/2,100,7,2,2,1,"KURBANOV, NIKITA"
2011-12,CSKA Moscow,6,23,3.8,8/17,47.1,1/3,33.3,4/4,100,15,6,2,1,"KURBANOV, NIKITA"
2015-16,CSKA Moscow,29,193,6.7,48/86,55.8,19/46,41.3,40/45,88.9,146,21,34,9,"KURBANOV, NIKITA"
2016-17,CSKA Moscow,35,212,6.1,44/90,48.9,16/48,33.3,76/85,89.4,132,20,39,16,"KURBANOV, NIKITA"
2017-18,CSKA Moscow,36,188,5.2,45/83,54.2,18/54,33.3,44/51,86.3,115,24,45,13,"KURBANOV, NIKITA"
2018-19,CSKA Moscow,34,194,5.7,41/62,66.1,24/47,51.1,40/48,83.3,120,18,27,7,"KURBANOV, NIKITA"
2019-20,CSKA Moscow,28,149,5.3,23/47,48.9,28/63,44.4,19/24,79.2,98,18,42,9,"KURBANOV, NIKITA"
2020-21,CSKA Moscow,5,21,4.2,1/5,20,5/9,55.6,4/6,66.7,16,2,4,3,"KURBANOV, NIKITA"
2018-19,FC Barcelona Lassa,34,284,8.4,45/88,51.1,54/136,39.7,32/37,86.5,73,27,28,2,"KURIC, KYLE"
2019-20,FC Barcelona,27,254,9.4,46/92,50,43/97,44.3,33/37,89.2,57,19,25,4,"KURIC, KYLE"
2020-21,FC Barcelona,3,29,9.7,2/3,66.7,6/11,54.5,7/7,100,6,0,1,0,"KURIC, KYLE"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,0,0,0/1,0,0/1,0,0/0,0,1,0,0,0,"KURUCS, ARTURS"
2015-16,Panathinaikos Athens,25,128,5.1,49/102,48,0/0,0,30/44,68.2,103,10,7,7,"KUZMIC, OGNJEN"
2016-17,Crvena Zvezda mts Belgrade,30,282,9.4,112/204,54.9,0/0,0,58/82,70.7,209,30,30,18,"KUZMIC, OGNJEN"
2017-18,Real Madrid,2,2,1,1/3,33.3,0/0,0,0/0,0,4,0,0,0,"KUZMIC, OGNJEN"
2018-19,Real Madrid,5,11,2.2,4/11,36.4,0/0,0,3/5,60,13,1,0,2,"KUZMIC, OGNJEN"
2019-20,Crvena Zvezda mts Belgrade,19,75,3.9,31/50,62,0/0,0,13/16,81.3,67,4,11,4,"KUZMIC, OGNJEN"
2020-21,Crvena Zvezda mts Belgrade,4,23,5.8,10/18,55.6,0/0,0,3/4,75,23,0,1,0,"KUZMIC, OGNJEN"
2019-20,Valencia Basket,27,139,5.1,35/58,60.3,12/37,32.4,33/42,78.6,123,13,20,8,"LABEYRIE, LOUIS"
2020-21,Valencia Basket,4,28,7,8/10,80,3/8,37.5,3/4,75,22,1,2,0,"LABEYRIE, LOUIS"
2009-10,Asvel Basket,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"LACOMBE, PAUL"
2013-14,Strasbourg,10,51,5.1,16/31,51.6,3/12,25,10/11,90.9,27,14,15,4,"LACOMBE, PAUL"
2015-16,Strasbourg,10,41,4.1,13/32,40.6,2/7,28.6,9/12,75,34,8,29,6,"LACOMBE, PAUL"
2020-21,LDLC ASVEL Villeurbanne,1,6,6,0/0,0,2/3,66.7,0/0,0,0,1,4,0,"LACOMBE, PAUL"
2020-21,ALBA Berlin,4,24,6,10/16,62.5,1/1,100,1/1,100,11,3,0,4,"LAMMERS, BEN"
2016-17,Baskonia Vitoria Gasteiz,14,38,2.7,6/18,33.3,7/31,22.6,5/6,83.3,12,4,31,0,"LAPROVITTOLA, NICOLAS"
2019-20,Real Madrid,23,115,5,25/45,55.6,13/46,28.3,26/30,86.7,32,8,68,0,"LAPROVITTOLA, NICOLAS"
2020-21,Real Madrid,4,26,6.5,1/6,16.7,6/11,54.5,6/6,100,6,2,9,0,"LAPROVITTOLA, NICOLAS"
2020-21,Olympiacos Piraeus,2,0,0,0/1,0,0/1,0,0/0,0,0,0,1,0,"LARENTZAKIS, GIANNOULIS"
2016-17,Baskonia Vitoria Gasteiz,33,431,13.1,91/202,45,49/143,34.3,102/128,79.7,89,42,187,8,"LARKIN, SHANE"
2018-19,Anadolu Efes Istanbul,35,439,12.5,72/130,55.4,66/147,44.9,97/112,86.6,77,30,110,3,"LARKIN, SHANE"
2019-20,Anadolu Efes Istanbul,25,555,22.2,80/144,55.6,88/173,50.9,131/145,90.3,78,33,102,1,"LARKIN, SHANE"
2012-13,Elan Chalon-Sur-Saone,7,46,6.6,13/24,54.2,4/8,50,8/10,80,25,1,6,1,"LAUVERGNE, JOFFREY"
